sampleID,taxonomy,presence
170,Chipmunk,0
170,European starling,0
170,Deer,0
170,Deer mouse,0
170,Cow,0
170,Elk,0
170,Flying squirrel,0
170,Ground squirrel,0
170,Meadow vole,0
170,Moose,1
170,Muskrat,0
170,Pig,0
170,Rabbit,0
170,Red squirrel,0
170,Red-backed vole,0
170,Ruffed grouse,0
170,Snowshoe hare,0
170,Spruce grouse,0
170,Wild turkey,0
170,Wolf or Coyote,1
171,Chipmunk,0
171,European starling,0
171,Deer,0
171,Deer mouse,0
171,Cow,0
171,Elk,0
171,Flying squirrel,0
171,Ground squirrel,0
171,Meadow vole,0
171,Moose,0
171,Muskrat,0
171,Pig,0
171,Rabbit,0
171,Red squirrel,0
171,Red-backed vole,0
171,Ruffed grouse,0
171,Snowshoe hare,1
171,Spruce grouse,0
171,Wild turkey,0
171,Wolf or Coyote,1
172,Chipmunk,0
172,European starling,0
172,Deer,0
172,Deer mouse,1
172,Cow,0
172,Elk,0
172,Flying squirrel,0
172,Ground squirrel,0
172,Meadow vole,0
172,Moose,1
172,Muskrat,0
172,Pig,0
172,Rabbit,0
172,Red squirrel,0
172,Red-backed vole,0
172,Ruffed grouse,0
172,Snowshoe hare,0
172,Spruce grouse,0
172,Wild turkey,0
172,Wolf or Coyote,1
175,Chipmunk,0
175,European starling,0
175,Deer,0
175,Deer mouse,1
175,Cow,0
175,Elk,0
175,Flying squirrel,0
175,Ground squirrel,0
175,Meadow vole,0
175,Moose,0
175,Muskrat,0
175,Pig,0
175,Rabbit,0
175,Red squirrel,0
175,Red-backed vole,0
175,Ruffed grouse,0
175,Snowshoe hare,1
175,Spruce grouse,0
175,Wild turkey,0
175,Wolf or Coyote,1
176,Chipmunk,0
176,European starling,0
176,Deer,0
176,Deer mouse,0
176,Cow,0
176,Elk,0
176,Flying squirrel,0
176,Ground squirrel,0
176,Meadow vole,0
176,Moose,0
176,Muskrat,0
176,Pig,0
176,Rabbit,0
176,Red squirrel,0
176,Red-backed vole,0
176,Ruffed grouse,0
176,Snowshoe hare,1
176,Spruce grouse,0
176,Wild turkey,0
176,Wolf or Coyote,1
177,Chipmunk,0
177,European starling,0
177,Deer,0
177,Deer mouse,0
177,Cow,0
177,Elk,0
177,Flying squirrel,0
177,Ground squirrel,0
177,Meadow vole,0
177,Moose,0
177,Muskrat,0
177,Pig,0
177,Rabbit,0
177,Red squirrel,0
177,Red-backed vole,0
177,Ruffed grouse,0
177,Snowshoe hare,1
177,Spruce grouse,0
177,Wild turkey,0
177,Wolf or Coyote,1
183,Chipmunk,0
183,European starling,0
183,Deer,0
183,Deer mouse,0
183,Cow,0
183,Elk,1
183,Flying squirrel,0
183,Ground squirrel,0
183,Meadow vole,0
183,Moose,0
183,Muskrat,0
183,Pig,0
183,Rabbit,0
183,Red squirrel,1
183,Red-backed vole,0
183,Ruffed grouse,0
183,Snowshoe hare,0
183,Spruce grouse,0
183,Wild turkey,0
183,Wolf or Coyote,1
203,Chipmunk,0
203,European starling,0
203,Deer,1
203,Deer mouse,0
203,Cow,0
203,Elk,0
203,Flying squirrel,0
203,Ground squirrel,0
203,Meadow vole,0
203,Moose,0
203,Muskrat,0
203,Pig,0
203,Rabbit,0
203,Red squirrel,0
203,Red-backed vole,0
203,Ruffed grouse,0
203,Snowshoe hare,0
203,Spruce grouse,0
203,Wild turkey,0
203,Wolf or Coyote,0
204,Chipmunk,0
204,European starling,0
204,Deer,1
204,Deer mouse,0
204,Cow,0
204,Elk,0
204,Flying squirrel,0
204,Ground squirrel,0
204,Meadow vole,0
204,Moose,0
204,Muskrat,0
204,Pig,0
204,Rabbit,0
204,Red squirrel,0
204,Red-backed vole,0
204,Ruffed grouse,0
204,Snowshoe hare,0
204,Spruce grouse,0
204,Wild turkey,0
204,Wolf or Coyote,1
285,Chipmunk,0
285,European starling,0
285,Deer,0
285,Deer mouse,0
285,Cow,0
285,Elk,0
285,Flying squirrel,0
285,Ground squirrel,0
285,Meadow vole,0
285,Moose,0
285,Muskrat,0
285,Pig,1
285,Rabbit,0
285,Red squirrel,0
285,Red-backed vole,0
285,Ruffed grouse,0
285,Snowshoe hare,0
285,Spruce grouse,0
285,Wild turkey,0
285,Wolf or Coyote,1
287,Chipmunk,0
287,European starling,0
287,Deer,0
287,Deer mouse,0
287,Cow,0
287,Elk,0
287,Flying squirrel,0
287,Ground squirrel,0
287,Meadow vole,0
287,Moose,1
287,Muskrat,0
287,Pig,0
287,Rabbit,0
287,Red squirrel,0
287,Red-backed vole,0
287,Ruffed grouse,0
287,Snowshoe hare,0
287,Spruce grouse,0
287,Wild turkey,0
287,Wolf or Coyote,1
290,Chipmunk,0
290,European starling,0
290,Deer,0
290,Deer mouse,0
290,Cow,0
290,Elk,0
290,Flying squirrel,0
290,Ground squirrel,0
290,Meadow vole,0
290,Moose,1
290,Muskrat,0
290,Pig,0
290,Rabbit,0
290,Red squirrel,0
290,Red-backed vole,0
290,Ruffed grouse,0
290,Snowshoe hare,0
290,Spruce grouse,0
290,Wild turkey,0
290,Wolf or Coyote,1
297,Chipmunk,0
297,European starling,0
297,Deer,1
297,Deer mouse,0
297,Cow,0
297,Elk,0
297,Flying squirrel,0
297,Ground squirrel,0
297,Meadow vole,0
297,Moose,0
297,Muskrat,0
297,Pig,0
297,Rabbit,0
297,Red squirrel,0
297,Red-backed vole,0
297,Ruffed grouse,0
297,Snowshoe hare,0
297,Spruce grouse,0
297,Wild turkey,0
297,Wolf or Coyote,0
303,Chipmunk,0
303,European starling,0
303,Deer,1
303,Deer mouse,0
303,Cow,0
303,Elk,1
303,Flying squirrel,0
303,Ground squirrel,0
303,Meadow vole,0
303,Moose,0
303,Muskrat,0
303,Pig,0
303,Rabbit,0
303,Red squirrel,0
303,Red-backed vole,0
303,Ruffed grouse,0
303,Snowshoe hare,1
303,Spruce grouse,0
303,Wild turkey,0
303,Wolf or Coyote,1
308,Chipmunk,0
308,European starling,0
308,Deer,1
308,Deer mouse,0
308,Cow,1
308,Elk,0
308,Flying squirrel,0
308,Ground squirrel,0
308,Meadow vole,0
308,Moose,0
308,Muskrat,0
308,Pig,0
308,Rabbit,0
308,Red squirrel,0
308,Red-backed vole,0
308,Ruffed grouse,0
308,Snowshoe hare,0
308,Spruce grouse,0
308,Wild turkey,0
308,Wolf or Coyote,1
311,Chipmunk,0
311,European starling,0
311,Deer,0
311,Deer mouse,0
311,Cow,0
311,Elk,0
311,Flying squirrel,0
311,Ground squirrel,0
311,Meadow vole,0
311,Moose,1
311,Muskrat,0
311,Pig,0
311,Rabbit,0
311,Red squirrel,0
311,Red-backed vole,0
311,Ruffed grouse,0
311,Snowshoe hare,0
311,Spruce grouse,0
311,Wild turkey,0
311,Wolf or Coyote,1
313,Chipmunk,0
313,European starling,0
313,Deer,0
313,Deer mouse,0
313,Cow,0
313,Elk,0
313,Flying squirrel,0
313,Ground squirrel,0
313,Meadow vole,0
313,Moose,1
313,Muskrat,0
313,Pig,1
313,Rabbit,0
313,Red squirrel,0
313,Red-backed vole,0
313,Ruffed grouse,0
313,Snowshoe hare,0
313,Spruce grouse,0
313,Wild turkey,0
313,Wolf or Coyote,1
573,Chipmunk,0
573,European starling,0
573,Deer,0
573,Deer mouse,0
573,Cow,0
573,Elk,0
573,Flying squirrel,0
573,Ground squirrel,0
573,Meadow vole,0
573,Moose,0
573,Muskrat,0
573,Pig,0
573,Rabbit,0
573,Red squirrel,0
573,Red-backed vole,0
573,Ruffed grouse,0
573,Snowshoe hare,1
573,Spruce grouse,0
573,Wild turkey,0
573,Wolf or Coyote,1
575,Chipmunk,0
575,European starling,0
575,Deer,0
575,Deer mouse,0
575,Cow,0
575,Elk,0
575,Flying squirrel,0
575,Ground squirrel,0
575,Meadow vole,0
575,Moose,0
575,Muskrat,0
575,Pig,0
575,Rabbit,0
575,Red squirrel,0
575,Red-backed vole,0
575,Ruffed grouse,0
575,Snowshoe hare,1
575,Spruce grouse,0
575,Wild turkey,0
575,Wolf or Coyote,1
613,Chipmunk,0
613,European starling,0
613,Deer,0
613,Deer mouse,1
613,Cow,0
613,Elk,0
613,Flying squirrel,0
613,Ground squirrel,0
613,Meadow vole,0
613,Moose,0
613,Muskrat,0
613,Pig,0
613,Rabbit,0
613,Red squirrel,0
613,Red-backed vole,1
613,Ruffed grouse,1
613,Snowshoe hare,1
613,Spruce grouse,0
613,Wild turkey,0
613,Wolf or Coyote,1
621,Chipmunk,0
621,European starling,0
621,Deer,0
621,Deer mouse,0
621,Cow,0
621,Elk,1
621,Flying squirrel,0
621,Ground squirrel,0
621,Meadow vole,0
621,Moose,0
621,Muskrat,0
621,Pig,0
621,Rabbit,0
621,Red squirrel,0
621,Red-backed vole,0
621,Ruffed grouse,0
621,Snowshoe hare,1
621,Spruce grouse,0
621,Wild turkey,0
621,Wolf or Coyote,1
641,Chipmunk,0
641,European starling,0
641,Deer,1
641,Deer mouse,0
641,Cow,0
641,Elk,0
641,Flying squirrel,0
641,Ground squirrel,0
641,Meadow vole,0
641,Moose,1
641,Muskrat,0
641,Pig,0
641,Rabbit,0
641,Red squirrel,0
641,Red-backed vole,0
641,Ruffed grouse,0
641,Snowshoe hare,1
641,Spruce grouse,0
641,Wild turkey,0
641,Wolf or Coyote,1
644,Chipmunk,0
644,European starling,0
644,Deer,0
644,Deer mouse,0
644,Cow,0
644,Elk,0
644,Flying squirrel,0
644,Ground squirrel,0
644,Meadow vole,0
644,Moose,1
644,Muskrat,0
644,Pig,0
644,Rabbit,0
644,Red squirrel,0
644,Red-backed vole,0
644,Ruffed grouse,0
644,Snowshoe hare,0
644,Spruce grouse,0
644,Wild turkey,0
644,Wolf or Coyote,1
646,Chipmunk,0
646,European starling,0
646,Deer,0
646,Deer mouse,0
646,Cow,0
646,Elk,0
646,Flying squirrel,0
646,Ground squirrel,0
646,Meadow vole,0
646,Moose,1
646,Muskrat,0
646,Pig,0
646,Rabbit,0
646,Red squirrel,0
646,Red-backed vole,0
646,Ruffed grouse,0
646,Snowshoe hare,0
646,Spruce grouse,0
646,Wild turkey,0
646,Wolf or Coyote,1
650,Chipmunk,0
650,European starling,0
650,Deer,0
650,Deer mouse,1
650,Cow,0
650,Elk,0
650,Flying squirrel,0
650,Ground squirrel,0
650,Meadow vole,0
650,Moose,1
650,Muskrat,0
650,Pig,0
650,Rabbit,0
650,Red squirrel,0
650,Red-backed vole,0
650,Ruffed grouse,0
650,Snowshoe hare,1
650,Spruce grouse,0
650,Wild turkey,0
650,Wolf or Coyote,1
652,Chipmunk,0
652,European starling,0
652,Deer,0
652,Deer mouse,0
652,Cow,0
652,Elk,0
652,Flying squirrel,1
652,Ground squirrel,1
652,Meadow vole,0
652,Moose,0
652,Muskrat,0
652,Pig,0
652,Rabbit,0
652,Red squirrel,0
652,Red-backed vole,0
652,Ruffed grouse,0
652,Snowshoe hare,1
652,Spruce grouse,0
652,Wild turkey,0
652,Wolf or Coyote,1
653,Chipmunk,0
653,European starling,0
653,Deer,0
653,Deer mouse,0
653,Cow,0
653,Elk,0
653,Flying squirrel,0
653,Ground squirrel,1
653,Meadow vole,0
653,Moose,1
653,Muskrat,0
653,Pig,0
653,Rabbit,0
653,Red squirrel,0
653,Red-backed vole,0
653,Ruffed grouse,0
653,Snowshoe hare,1
653,Spruce grouse,0
653,Wild turkey,0
653,Wolf or Coyote,1
656,Chipmunk,0
656,European starling,0
656,Deer,0
656,Deer mouse,0
656,Cow,0
656,Elk,0
656,Flying squirrel,0
656,Ground squirrel,0
656,Meadow vole,0
656,Moose,1
656,Muskrat,0
656,Pig,0
656,Rabbit,0
656,Red squirrel,0
656,Red-backed vole,0
656,Ruffed grouse,0
656,Snowshoe hare,1
656,Spruce grouse,0
656,Wild turkey,0
656,Wolf or Coyote,1
657,Chipmunk,0
657,European starling,0
657,Deer,0
657,Deer mouse,0
657,Cow,0
657,Elk,0
657,Flying squirrel,0
657,Ground squirrel,0
657,Meadow vole,0
657,Moose,1
657,Muskrat,0
657,Pig,0
657,Rabbit,0
657,Red squirrel,0
657,Red-backed vole,0
657,Ruffed grouse,0
657,Snowshoe hare,0
657,Spruce grouse,0
657,Wild turkey,0
657,Wolf or Coyote,1
659,Chipmunk,0
659,European starling,0
659,Deer,0
659,Deer mouse,0
659,Cow,0
659,Elk,0
659,Flying squirrel,0
659,Ground squirrel,1
659,Meadow vole,0
659,Moose,1
659,Muskrat,0
659,Pig,0
659,Rabbit,0
659,Red squirrel,0
659,Red-backed vole,0
659,Ruffed grouse,0
659,Snowshoe hare,0
659,Spruce grouse,0
659,Wild turkey,0
659,Wolf or Coyote,1
660,Chipmunk,0
660,European starling,0
660,Deer,0
660,Deer mouse,0
660,Cow,0
660,Elk,0
660,Flying squirrel,0
660,Ground squirrel,0
660,Meadow vole,0
660,Moose,1
660,Muskrat,0
660,Pig,0
660,Rabbit,0
660,Red squirrel,0
660,Red-backed vole,0
660,Ruffed grouse,0
660,Snowshoe hare,1
660,Spruce grouse,0
660,Wild turkey,0
660,Wolf or Coyote,1
661,Chipmunk,0
661,European starling,0
661,Deer,0
661,Deer mouse,0
661,Cow,0
661,Elk,0
661,Flying squirrel,0
661,Ground squirrel,0
661,Meadow vole,0
661,Moose,1
661,Muskrat,0
661,Pig,0
661,Rabbit,0
661,Red squirrel,0
661,Red-backed vole,0
661,Ruffed grouse,0
661,Snowshoe hare,0
661,Spruce grouse,0
661,Wild turkey,0
661,Wolf or Coyote,1
663,Chipmunk,0
663,European starling,0
663,Deer,0
663,Deer mouse,0
663,Cow,0
663,Elk,0
663,Flying squirrel,0
663,Ground squirrel,0
663,Meadow vole,0
663,Moose,1
663,Muskrat,0
663,Pig,0
663,Rabbit,0
663,Red squirrel,0
663,Red-backed vole,0
663,Ruffed grouse,0
663,Snowshoe hare,0
663,Spruce grouse,0
663,Wild turkey,0
663,Wolf or Coyote,1
664,Chipmunk,0
664,European starling,0
664,Deer,1
664,Deer mouse,0
664,Cow,0
664,Elk,0
664,Flying squirrel,0
664,Ground squirrel,0
664,Meadow vole,0
664,Moose,0
664,Muskrat,0
664,Pig,0
664,Rabbit,0
664,Red squirrel,0
664,Red-backed vole,1
664,Ruffed grouse,0
664,Snowshoe hare,1
664,Spruce grouse,0
664,Wild turkey,0
664,Wolf or Coyote,1
665,Chipmunk,0
665,European starling,0
665,Deer,0
665,Deer mouse,0
665,Cow,0
665,Elk,0
665,Flying squirrel,0
665,Ground squirrel,0
665,Meadow vole,0
665,Moose,1
665,Muskrat,0
665,Pig,0
665,Rabbit,0
665,Red squirrel,0
665,Red-backed vole,0
665,Ruffed grouse,0
665,Snowshoe hare,0
665,Spruce grouse,0
665,Wild turkey,0
665,Wolf or Coyote,1
667,Chipmunk,0
667,European starling,0
667,Deer,0
667,Deer mouse,0
667,Cow,0
667,Elk,0
667,Flying squirrel,0
667,Ground squirrel,0
667,Meadow vole,0
667,Moose,1
667,Muskrat,0
667,Pig,0
667,Rabbit,0
667,Red squirrel,0
667,Red-backed vole,0
667,Ruffed grouse,1
667,Snowshoe hare,0
667,Spruce grouse,0
667,Wild turkey,0
667,Wolf or Coyote,1
776,Chipmunk,0
776,European starling,0
776,Deer,0
776,Deer mouse,0
776,Cow,0
776,Elk,0
776,Flying squirrel,0
776,Ground squirrel,0
776,Meadow vole,0
776,Moose,1
776,Muskrat,0
776,Pig,0
776,Rabbit,0
776,Red squirrel,0
776,Red-backed vole,0
776,Ruffed grouse,0
776,Snowshoe hare,0
776,Spruce grouse,0
776,Wild turkey,0
776,Wolf or Coyote,1
778,Chipmunk,0
778,European starling,0
778,Deer,0
778,Deer mouse,0
778,Cow,0
778,Elk,0
778,Flying squirrel,0
778,Ground squirrel,0
778,Meadow vole,0
778,Moose,1
778,Muskrat,0
778,Pig,0
778,Rabbit,0
778,Red squirrel,0
778,Red-backed vole,0
778,Ruffed grouse,0
778,Snowshoe hare,1
778,Spruce grouse,0
778,Wild turkey,0
778,Wolf or Coyote,1
779,Chipmunk,0
779,European starling,0
779,Deer,1
779,Deer mouse,0
779,Cow,0
779,Elk,0
779,Flying squirrel,0
779,Ground squirrel,0
779,Meadow vole,0
779,Moose,0
779,Muskrat,0
779,Pig,0
779,Rabbit,0
779,Red squirrel,0
779,Red-backed vole,0
779,Ruffed grouse,0
779,Snowshoe hare,0
779,Spruce grouse,0
779,Wild turkey,0
779,Wolf or Coyote,1
781,Chipmunk,0
781,European starling,0
781,Deer,1
781,Deer mouse,0
781,Cow,0
781,Elk,0
781,Flying squirrel,0
781,Ground squirrel,0
781,Meadow vole,1
781,Moose,0
781,Muskrat,0
781,Pig,0
781,Rabbit,0
781,Red squirrel,1
781,Red-backed vole,0
781,Ruffed grouse,0
781,Snowshoe hare,1
781,Spruce grouse,0
781,Wild turkey,0
781,Wolf or Coyote,1
784,Chipmunk,0
784,European starling,0
784,Deer,0
784,Deer mouse,0
784,Cow,0
784,Elk,0
784,Flying squirrel,0
784,Ground squirrel,0
784,Meadow vole,0
784,Moose,1
784,Muskrat,0
784,Pig,0
784,Rabbit,0
784,Red squirrel,0
784,Red-backed vole,0
784,Ruffed grouse,0
784,Snowshoe hare,0
784,Spruce grouse,0
784,Wild turkey,0
784,Wolf or Coyote,1
786,Chipmunk,0
786,European starling,0
786,Deer,0
786,Deer mouse,0
786,Cow,0
786,Elk,0
786,Flying squirrel,0
786,Ground squirrel,0
786,Meadow vole,0
786,Moose,1
786,Muskrat,0
786,Pig,0
786,Rabbit,0
786,Red squirrel,0
786,Red-backed vole,0
786,Ruffed grouse,0
786,Snowshoe hare,1
786,Spruce grouse,0
786,Wild turkey,0
786,Wolf or Coyote,1
787,Chipmunk,0
787,European starling,0
787,Deer,0
787,Deer mouse,0
787,Cow,0
787,Elk,0
787,Flying squirrel,0
787,Ground squirrel,0
787,Meadow vole,1
787,Moose,1
787,Muskrat,0
787,Pig,0
787,Rabbit,0
787,Red squirrel,0
787,Red-backed vole,0
787,Ruffed grouse,0
787,Snowshoe hare,1
787,Spruce grouse,0
787,Wild turkey,0
787,Wolf or Coyote,1
788,Chipmunk,0
788,European starling,0
788,Deer,0
788,Deer mouse,0
788,Cow,0
788,Elk,0
788,Flying squirrel,0
788,Ground squirrel,0
788,Meadow vole,0
788,Moose,1
788,Muskrat,0
788,Pig,0
788,Rabbit,0
788,Red squirrel,1
788,Red-backed vole,0
788,Ruffed grouse,0
788,Snowshoe hare,1
788,Spruce grouse,0
788,Wild turkey,0
788,Wolf or Coyote,1
790,Chipmunk,0
790,European starling,0
790,Deer,1
790,Deer mouse,0
790,Cow,0
790,Elk,0
790,Flying squirrel,0
790,Ground squirrel,0
790,Meadow vole,0
790,Moose,0
790,Muskrat,0
790,Pig,0
790,Rabbit,0
790,Red squirrel,0
790,Red-backed vole,0
790,Ruffed grouse,0
790,Snowshoe hare,0
790,Spruce grouse,0
790,Wild turkey,0
790,Wolf or Coyote,1
792,Chipmunk,0
792,European starling,0
792,Deer,0
792,Deer mouse,0
792,Cow,0
792,Elk,0
792,Flying squirrel,0
792,Ground squirrel,0
792,Meadow vole,0
792,Moose,1
792,Muskrat,0
792,Pig,0
792,Rabbit,0
792,Red squirrel,0
792,Red-backed vole,0
792,Ruffed grouse,0
792,Snowshoe hare,1
792,Spruce grouse,0
792,Wild turkey,0
792,Wolf or Coyote,1
794,Chipmunk,0
794,European starling,0
794,Deer,1
794,Deer mouse,1
794,Cow,0
794,Elk,0
794,Flying squirrel,0
794,Ground squirrel,0
794,Meadow vole,0
794,Moose,0
794,Muskrat,0
794,Pig,0
794,Rabbit,0
794,Red squirrel,0
794,Red-backed vole,0
794,Ruffed grouse,0
794,Snowshoe hare,1
794,Spruce grouse,0
794,Wild turkey,0
794,Wolf or Coyote,1
826,Chipmunk,0
826,European starling,0
826,Deer,0
826,Deer mouse,0
826,Cow,0
826,Elk,0
826,Flying squirrel,0
826,Ground squirrel,0
826,Meadow vole,1
826,Moose,0
826,Muskrat,0
826,Pig,0
826,Rabbit,0
826,Red squirrel,0
826,Red-backed vole,0
826,Ruffed grouse,0
826,Snowshoe hare,1
826,Spruce grouse,0
826,Wild turkey,0
826,Wolf or Coyote,1
827,Chipmunk,0
827,European starling,0
827,Deer,0
827,Deer mouse,0
827,Cow,0
827,Elk,0
827,Flying squirrel,0
827,Ground squirrel,0
827,Meadow vole,0
827,Moose,1
827,Muskrat,0
827,Pig,0
827,Rabbit,0
827,Red squirrel,0
827,Red-backed vole,0
827,Ruffed grouse,0
827,Snowshoe hare,0
827,Spruce grouse,0
827,Wild turkey,0
827,Wolf or Coyote,1
828,Chipmunk,0
828,European starling,0
828,Deer,1
828,Deer mouse,0
828,Cow,0
828,Elk,0
828,Flying squirrel,0
828,Ground squirrel,0
828,Meadow vole,0
828,Moose,0
828,Muskrat,0
828,Pig,0
828,Rabbit,0
828,Red squirrel,0
828,Red-backed vole,0
828,Ruffed grouse,1
828,Snowshoe hare,0
828,Spruce grouse,0
828,Wild turkey,0
828,Wolf or Coyote,1
829,Chipmunk,0
829,European starling,0
829,Deer,0
829,Deer mouse,0
829,Cow,1
829,Elk,0
829,Flying squirrel,0
829,Ground squirrel,0
829,Meadow vole,0
829,Moose,1
829,Muskrat,0
829,Pig,0
829,Rabbit,0
829,Red squirrel,0
829,Red-backed vole,0
829,Ruffed grouse,0
829,Snowshoe hare,0
829,Spruce grouse,0
829,Wild turkey,0
829,Wolf or Coyote,1
831,Chipmunk,0
831,European starling,0
831,Deer,1
831,Deer mouse,0
831,Cow,1
831,Elk,1
831,Flying squirrel,0
831,Ground squirrel,0
831,Meadow vole,0
831,Moose,0
831,Muskrat,0
831,Pig,1
831,Rabbit,0
831,Red squirrel,0
831,Red-backed vole,0
831,Ruffed grouse,0
831,Snowshoe hare,0
831,Spruce grouse,0
831,Wild turkey,0
831,Wolf or Coyote,1
832,Chipmunk,0
832,European starling,0
832,Deer,0
832,Deer mouse,0
832,Cow,0
832,Elk,0
832,Flying squirrel,0
832,Ground squirrel,0
832,Meadow vole,0
832,Moose,0
832,Muskrat,0
832,Pig,0
832,Rabbit,0
832,Red squirrel,0
832,Red-backed vole,0
832,Ruffed grouse,0
832,Snowshoe hare,0
832,Spruce grouse,0
832,Wild turkey,0
832,Wolf or Coyote,1
833,Chipmunk,0
833,European starling,0
833,Deer,0
833,Deer mouse,0
833,Cow,0
833,Elk,0
833,Flying squirrel,0
833,Ground squirrel,0
833,Meadow vole,0
833,Moose,1
833,Muskrat,0
833,Pig,0
833,Rabbit,0
833,Red squirrel,0
833,Red-backed vole,0
833,Ruffed grouse,0
833,Snowshoe hare,0
833,Spruce grouse,0
833,Wild turkey,0
833,Wolf or Coyote,1
834,Chipmunk,0
834,European starling,0
834,Deer,0
834,Deer mouse,0
834,Cow,0
834,Elk,0
834,Flying squirrel,0
834,Ground squirrel,0
834,Meadow vole,0
834,Moose,1
834,Muskrat,0
834,Pig,0
834,Rabbit,0
